DirPath,File,Method,PyPDF2_Score,OCR_Score,Final_Score,Output_Path
/content/drive/MyDrive/Base Model Farsi/Documents,Immunization Guide line-Final-1403.pdf,PyPDF2 (no OCR),0.788,0.0,0.788,/content/drive/MyDrive/Base Model Farsi/Output Texts/Immunization Guide line-Final-1403.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/هموسیستینوری ناشی از نقص در تشکیل کوبالامین,نامه ابلاغ هموسیستینوری ناشی از نقص در تشکیل کوبالامین.pdf,"PyPDF2 (better, OCR worse)",0.5226,0.4857,0.5226,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ هموسیستینوری ناشی از نقص در تشکیل کوبالامین.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/هموسیستینوری ناشی از نقص در تشکیل کوبالامین,6 تیر.pdf,PyPDF2 (no OCR),0.7889,0.0,0.7889,/content/drive/MyDrive/Base Model Farsi/Output Texts/6 تیر.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/مسمومیت,مسمومیت ها  نامه.pdf,PyPDF2 (no OCR),0.7871,0.0,0.7871,/content/drive/MyDrive/Base Model Farsi/Output Texts/مسمومیت ها  نامه.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/مسمومیت,رویکرد مسموم.pdf,PyPDF2 (no OCR),0.7902,0.0,0.7902,/content/drive/MyDrive/Base Model Farsi/Output Texts/رویکرد مسموم.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/تغذیه در ms,تغذیه در ام اس نامه.pdf,PyPDF2 (no OCR),0.7848,0.0,0.7848,/content/drive/MyDrive/Base Model Farsi/Output Texts/تغذیه در ام اس نامه.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/تغذیه در ms,پروتکل تغذیه در ms.pdf,PyPDF2 (no OCR),0.7896,0.0,0.7896,/content/drive/MyDrive/Base Model Farsi/Output Texts/پروتکل تغذیه در ms.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/خود مراقبتی در کودک و نوجوان مبتلا به سنکوپ,نامه ابلاغ پروتکل خود مراقبتی در کودک و نوجوان مبتلا به سنکوپ.pdf,OCR (better),0.0,0.4819,0.4819,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ پروتکل خود مراقبتی در کودک و نوجوان مبتلا به سنکوپ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/خود مراقبتی در کودک و نوجوان مبتلا به سنکوپ,پروتکل خود مراقبتی در کودکان مبتلابه سنکوپ.pdf,PyPDF2 (no OCR),0.6849,0.0,0.6849,/content/drive/MyDrive/Base Model Farsi/Output Texts/پروتکل خود مراقبتی در کودکان مبتلابه سنکوپ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/پروتکل تغذیه در بیماران سوختگی,نامه ابلاغ پروتکل تغذیه در بیماران سوختگی.pdf,"PyPDF2 (better, OCR worse)",0.5203,0.4844,0.5203,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ پروتکل تغذیه در بیماران سوختگی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/پروتکل تغذیه در بیماران سوختگی,پروتکل تغذیه در بیماران سوختگی.pdf,PyPDF2 (no OCR),0.7891,0.0,0.7891,/content/drive/MyDrive/Base Model Farsi/Output Texts/پروتکل تغذیه در بیماران سوختگی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/MS,نامه ms.pdf,PyPDF2 (no OCR),0.7845,0.0,0.7845,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ms.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/MS,پروتکل تشخیصی درمانی ام اس ( نسخه سوم ).pdf,OCR (better),0.0,0.7565,0.7565,/content/drive/MyDrive/Base Model Farsi/Output Texts/پروتکل تشخیصی درمانی ام اس ( نسخه سوم ).txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/آهن زدایی,پروتکل تشخیص و درمان آهن زدایی در بیماران تالاسمی (نسخه دوم ) نامه ابلاغ.pdf,"PyPDF2 (better, OCR worse)",0.5207,0.4961,0.5207,/content/drive/MyDrive/Base Model Farsi/Output Texts/پروتکل تشخیص و درمان آهن زدایی در بیماران تالاسمی (نسخه دوم ) نامه ابلاغ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/آهن زدایی,پروتکل تشخیص و درمان آهن زدایی در بیماران تالاسمی (نسخه دوم ) فایل پیوست.pdf,PyPDF2 (no OCR),0.7649,0.0,0.7649,/content/drive/MyDrive/Base Model Farsi/Output Texts/پروتکل تشخیص و درمان آهن زدایی در بیماران تالاسمی (نسخه دوم ) فایل پیوست.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/پروتکل تشخیص و درمان هموسیستنوری کلاسیک,نامه ابلاغ پروتکل هموسیستنوری کلاسیک.pdf,"PyPDF2 (better, OCR worse)",0.5211,0.4997,0.5211,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ پروتکل هموسیستنوری کلاسیک.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/پروتوکل‌ها/Original Files/پروتکل تشخیص و درمان هموسیستنوری کلاسیک,پروتکل تشخیص و درمان هموسیستنوری کلاسیک.pdf,PyPDF2 (no OCR),0.7869,0.0,0.7869,/content/drive/MyDrive/Base Model Farsi/Output Texts/پروتکل تشخیص و درمان هموسیستنوری کلاسیک.txt
